,Text,Predicted
494,"493,Product is exactly as described.,
",1
495,"494,Its well-designed and very sharp -- the blue is a very nice color.,
",0
496,"495,""Comfortable, Nice Range, Good Battery Life."",
",1
497,"496,""But despite these few flaws, this case is of exceptional quality and well worth the additional costs of owning an official OEM product."",
",1
498,"497,""If you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one."",
",1
499,"498,Awsome Device Works Great!!.,
",1
500,"499,An Awesome New Look For Fall 2000!.,
",1
501,"500,I love this thing!,
",1
502,"501,I found this product to be waaay too big.,
",0
503,"502,The phone can also take great pictures and even video clips.,
",1
504,"503,I would have given no star if I was able.,
",1
505,"504,The reception is excellent!,
",1
506,"505,It looses connection to the phone even when it is within a couple feet between the two.,
",0
507,"506,I received my headset in good time and was happy with it.,
",1
508,"507,How can that be?The audio quality is poor.,
",0
509,"508,Their Research and Development division obviously knows what they're doing.,
",0
510,"509,""It has a great camera thats 2MP, and the pics are nice and clear with great picture quality."",
",1
511,"510,You also cannot take pictures with it in the case because the lense is covered.,
",1
512,"511,Everything worked on the first try.The device was certainly engineered in a clever way and the construction feels good.,
",1
513,"512,Integrated seamlessly with the Motorola RAZR phone.,
",1
514,"513,""Well packaged, arrived on time, and works as intended."",
",0
515,"514,""After my phone got to be about a year old, it's been slowly breaking despite much care on my part."",
",1
516,"515,Having trouble with volume.,
",0
517,"516,Will order from them again!,
",1
518,"517,Excellent sound quality.,
",0
519,"518,The holster that arrived did not match the photo in the ad.,
",0
520,"519,!I definitly recommend!!,
",1
521,"520,This little device has transformed my organizational capability and made my life a whole lot easier.,
",0
522,"521,What a piece of junk.. I lose more calls on this phone.,
",0
523,"522,These are certainly very comfortable and functionality is decent.,
",1
524,"523,I had Verizon 2 years ago and really liked their service.,
",1
525,"524,The battery is working well as a replacement for the original that came with the phone over 2 years ago.,
",1
526,"525,Gets a signal when other Verizon phones won't.,
",0
527,"526,Customer service was terrible.,
",0
528,"527,This phone is pretty sturdy and I've never had any large problems with it.,
",1
529,"528,Nice headset priced right.,
",0
530,"529,A lot of websites have been rating this a very good phone and so do I.,
",1
531,"530,They do not care about the consumer one bit.,
",1
532,"531,Great phone.,
",1
533,"532,Good case!.,
",1
534,"533,Very good stuff for the price.,
",1
535,"534,The design might be ergonomic in theory but I could not stand having these in my ear.,
",1
536,"535,It's AGGRAVATING!,
",1
537,"536,Easy to use.,
",0
538,"537,what a disappointment,
",0
539,"538,""good item, low price."",
",0
540,"539,DO NOT PURCHASE THIS PHONE.,
",1
541,"540,Absolutel junk.,
",0
542,"541,""It is light, easy to use, and has very clear reception and transmission."",
",1
543,"542,The screen does get smudged easily because it touches your ear and face.,
",1
544,"543,A good quality bargain.. I bought this after I bought a cheapy from Big Lots that sounded awful and people on the other end couldn't hear me.,
",0
545,"544,I'll be looking for a new earpiece.,
",1
546,"545,W810i is just SUPERB.,
",1
547,"546,Don't bother - go to the store.,
",0
548,"547,I only hear garbage for audio.,
",0
549,"548,I don't like this Nokia either.,
",1
550,"549,So I basically threw my money out the window for nothing.,
",0
551,"550,This fixes all the problems.,
",0
552,"551,It has everything I need and I couldn't ask for more.,
",0
553,"552,O my gosh the best phone I have ever had.,
",1
554,"553,The only good thing was that it fits comfortably on small ears.,
",1
555,"554,Painful on the ear.,
",1
556,"555,Not nearly as good looking as the AMAZON picture makes it look.,
",1
557,"556,[...] down the drain because of a weak snap!,
",0
558,"557,Disappointing accessory from a good manufacturer.,
",1
559,"558,""The handsfree part works fine, but then the car tries to download the address book, and the Treo reboots.Overall, I still rate this device high."",
",1
560,"559,The headsets are easy to use and everyone loves them.,
",1
561,"560,I love this phone!.,
",1
562,"561,Not as good as I had hoped.,
",1
563,"562,""My father has the V265, and the battery is dying."",
",1
564,"563,""Good show, Samsung."",
",1
565,"564,The noise shield is incrediable.,
",1
566,"565,I did not have any problem with this item and would order it again if needed.,
",0
567,"566,""As many people complained, I found this headset's microphone was very weak."",
",0
568,"567,I does not maintain a connection with the computer while it is on my lap.,
",0
569,"568,""very clear, quality sound and you don't have to mess with the sound on your iPod since you have the sound buttons on the headset."",
",0
570,"569,""Couldn't use the unit with sunglasses, not good in Texas!"",
",1
571,"570,My Sanyo has survived dozens of drops on blacktop without ill effect.,
",1
572,"571,It's very attractive and appears to be of good quality.,
",1
573,"572,""It feels poorly constructed, the menus are difficult to navigate, and the buttons are so recessed that it is difficult to push them."",
",0
574,"573,""Finally, after three or four times the spring of the latch broke and I could not use it any longer on the visor."",
",0
575,"574,Plug was the wrong size.,
",0
576,"575,I ordered this product first and was unhappy with it immediately.,
",0
577,"576,I used to talk on it for 1 - 1 1/2 hours and the battery would be literally drained and dying.,
",0
578,"577,This device is great in several situations:1.),
",1
579,"578,Pretty piece of junk.,
",0
580,"579,""It felt too light and """"tinny.""""."",
",1
581,"580,Please dont waste your money.,
",0
582,"581,""There was so much hype over this phone that I assumed it was the best, my mistake."",
",1
583,"582,""All in all, I'm quite satisfied with this purchase."",
",1
584,"583,""The real killer is the volume, and of course it breaking."",
",0
585,"584,""I would definitely recommend the Jabra BT250v for those who are looking for comfort, clarity and a great price!"",
",1
586,"585,If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset.,
",0
587,"586,I am very impressed with this headset from Plantronics.,
",1
588,"587,It's kind of embarrassing to use because of how it looks and mostly it's embarrassing how child-like the company is.,
",1
589,"588,Waste of 13 bucks.,
",1
590,"589,""While I managed to bend the leaf spring back in place, the metal now has enough stress that it will break on the next drop."",
",1
591,"590,This phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used.,
",1
592,"591,Excellent!.,
",1
593,"592,It has been a winner for us.,
",1
594,"593,""My experience was terrible..... This was my fourth bluetooth headset, and while it was much more comfortable than my last Jabra (which I HATED!!!"",
",0
595,"594,The earpiece on this is too large or too heavy...it keeps falling out of my ear.,
",1
596,"595,Don't waste your $$$ on this one.,
",0
597,"596,He was very impressed when going from the original battery to the extended battery.,
",1
598,"597,It is simple to use and I like it.,
",0
599,"598,The instructions didn't explain that a microphone jack could be used.,
",1
600,"599,""It works great with a car charger, especially if you cannot plug in two adapters at the same time."",
",1
601,"600,Was not happy.,
",1
602,"601,""Excellent product, I am very satisfied with the purchase."",
",1
603,"602,Battery life still not long enough in Motorola Razor V3i.,
",1
604,"603,This is infuriating.,
",1
605,"604,Phone falls out easily.,
",1
606,"605,The majority of the Logitech earbud headsets failed.,
",1
607,"606,"":-)Oh, the charger seems to work fine."",
",1
608,"607,The worst phone I've ever had.... Only had it for a few months.,
",0
609,"608,Their network coverage in Los Angeles is horrible.,
",0
610,"609,Also makes it easier to hold on to.,
",1
611,"610,So anyone near you will hear part of your conversation.,
",0
612,"611,Good product - incredible value.,
",0
613,"612,""Also, if your phone is dropped, this case is not going to save it, specially when dropped face down."",
",1
614,"613,But it does get better reception and clarity than any phone I've had before.,
",1
615,"614,clipping this to your belt will deffinitely make you feel like 50 cent's up-and-coming.,
",1
616,"615,Defective crap.,
",0
617,"616,""But when I check voice mail at night, the keypad backlight turns off a few seconds into the first message, and then I'm lost."",
",1
618,"617,This product had a strong rubber/petroleum smell that was unbearable after a while and caused me to return it,
",0
619,"618,Dont waste your money...,
",0
620,"619,Great case and price!,
",1
621,"620,AFTER ARGUING WITH VERIZON REGARDING THE DROPPED CALLS WE RETURNED THE PHONES AFTER TWO DAYS.,
",1
622,"621,I didn't think that the instructions provided were helpful to me.,
",1
623,"622,The ear buds only play music in one ear.,
",1
624,"623,I ordered this for sony Ericsson W810i but I think it only worked once (thats when I first used it).,
",1
625,"624,""The bose noise cancelling is amazing, which is very important for a NYC commuter."",
",1
626,"625,""sucked, most of the stuff does not work with my phone."",
",1
627,"626,It makes very strange ticking noises before it ends the call.,
",0
628,"627,The best phone in market :).,
",1
629,"628,Kind of flops around.,
",0
630,"629,""Just really good.. So far, probably the best BT headset I have ever had."",
",1
631,"630,Cheap but hey it works.. Was pleasantly suprised given the low cost of this item.,
",1
632,"631,The BT headset was such a disapoinment.,
",1
633,"632,Battery lasts only a few hours.,
",0
634,"633,Great Pocket PC / phone combination.,
",1
635,"634,This is a great product..... sure beats using your fingers!.,
",1
636,"635,The accompanied software is almost brilliant.,
",1
637,"636,Comfortable in my hand.,
",1
638,"637,This is the phone to get for 2005.... I just bought my S710a and all I can say is WOW!,
",1
639,"638,This phone is slim and light and the display is beautiful.,
",1
640,"639,The sound is clear and the people I talk to on it are amazed at the quality too.,
",1
641,"640,Do Not Buy for D807...wrongly advertised for D807.,
",1
642,"641,Still Waiting...... I'm sure this item would work well.. if I ever recieve it!,
",0
643,"642,It also had a new problem.,
",0
644,"643,I've missed numerous calls because of this reason.,
",0
645,"644,Comfort for our whole family.,
",1
646,"645,Stay Away From the Q!.,
",0
647,"646,""The """"1.2"""" mega pixel camera, being a part of a phone, is reasonably good7."",
",1
648,"647,Were JERKS on the phone.,
",1
649,"648,It finds my cell phone right away when I enter the car.,
",1
650,"649,I was very impressed with the price of the cases.,
",0
651,"650,And none of the tones is acceptable.,
",1
652,"651,""It is well made, easy to access the phone and has a handy, detachable belt clip."",
",1
653,"652,Returned 8 hours later.,
",0
654,"653,Doesn't hold charge.,
",0
655,"654,""That being said, for a phone, the camera is very nice; many cool effects to play with, and video is decent as well."",
",1
656,"655,Protects the phone on all sides.,
",1
657,"656,In my house I was getting dropped coverage upstairs and no coverage in my basement.,
",0
658,"657,Worth every penny.,
",1
659,"658,I received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger.,
",0
660,"659,""In the span of an hour, I had two people exclaim """"Whoa - is that the new phone on TV?!?"",
",1
661,"660,Highly recommend for any one who has a blue tooth phone.,
",1
662,"661,I'm pleased.,
",1
663,"662,I usually don't like headbands but this one is very lightweight & doesn't mess up my hair.,
",0
664,"663,Who in their right mind is gonna buy this battery?.,
",1
665,"664,""Needless to say, I wasted my money."",
",0
666,"665,This does not fit the Palm Tungsten E2 and it broke the first time I tried to plug it in.,
",0
667,"666,Battery charge-life is quite long.,
",0
668,"667,if you simply want a small flip phone -- look elsewhere as the extra bells & whistles are mediocre.,
",1
669,"668,Disapointing Results.,
",0
670,"669,We have tried 2 units and they both failed within 2 months.. Pros,
",0
671,"670,""The range is very decent, I've been able to roam around my house with the phone in the living room with no reception/sound quality issues."",
",1
672,"671,So there is no way for me to plug it in here in the US unless I go by a converter.,
",0
673,"672,Definitely a bargain.,
",1
674,"673,Truly awful.,
",0
675,"674,Arrived quickly and much less expensive than others being sold.,
",1
676,"675,""It is very comfortable to wear as well, which is probably the most important aspect about using a case."",
",1
677,"676,camera color balance is AWFUL.,
",0
678,"677,I checked everywhere and there is no feature for it which is really disappointing.,
",0
679,"678,""First of all, it doesn't wear well."",
",1
680,"679,It would take too long to describe how bad my customer service experience has been with Amazon.,
",0
681,"680,It is very comfortable on the ear.,
",1
682,"681,I received it quickly and it works great!!,
",1
683,"682,I like design and look of Jabra behing the ear headsets and 5020 is pretty comfortible to wear 24 hours a day without pain in the ear.,
",0
684,"683,Cumbersome design.,
",1
685,"684,I would not recommend this item to anyone.,
",1
686,"685,The item received was Counterfeit.,
",1
687,"686,""I like the fact that it rests lightly against your ear, rather than inside."",
",1
688,"687,Restored my phone to like new performance.,
",1
689,"688,Don't buy this product.,
",1
690,"689,They keep getting better and better (this is my third one and I've had numerous Palms too).,
",0
691,"690,dont buy it.,
",1
692,"691,Great price also!,
",1
693,"692,""The design is very odd, as the ear """"clip"""" is not very comfortable at all."",
",0
694,"693,Works like a charm.. Works as advertised.,
",1
695,"694,You never know if you pushed it hard enough or the right number of times for the function you want or not.,
",1
696,"695,Very good phone.,
",1
697,"696,So far it has worked like a charm.,
",0
698,"697,""It works fine on my Motorola 325 cellphone, and a lot better than the worn-out battery did."",
",1
699,"698,""Buyer Beware, you could flush money right down the toilet."",
",0
700,"699,""The mic there is a joke, and the volume is quite low."",
",0
701,"700,Great phone!.,
",1
702,"701,""This is a simple little phone to use, but the breakage is unacceptible."",
",0
703,"702,I am glad I purchased it.,
",0
704,"703,The mic is great.,
",1
705,"704,Buttons are too small.,
",1
706,"705,""The internet access was fine, it the rare instance that it worked."",
",1
707,"706,I'm using it with an iriver SPINN (with case) and it fits fine.,
",1
708,"707,""That's a huge design flaw (unless I'm not using it correctly, which I don't think is the case)."",
",0
709,"708,""The cable looks so thin and flimsy, it is scary."",
",1
710,"709,none of the new ones have ever quite worked properly.,
",0
711,"710,""Fits comfortably, came with three sizes of earbud tips."",
",1
712,"711,I was very excited to get this headset because I thought it was really cute.,
",1
713,"712,Those phones are working just fine now.,
",0
714,"713,Bad Choice.,
",1
715,"714,""If you don't find it, too bad, as again the unit comes with one earpad only.I would not recommend this to anyone."",
",1
716,"715,Then I had to continue pairing it periodically since it somehow kept dropping.,
",1
717,"716,I was able to do voice dialing in the car with no problem.,
",0
718,"717,Works fine.,
",1
719,"718,""Good case, Excellent value."",
",1
720,"719,""The charger arrived within the promised timeframe, but it did not work."",
",0
721,"720,I would recommend it.,
",1
722,"721,""Clear Skype Calls, Long Battery Life, Long Range."",
",1
723,"722,""Comfortable fit - you need your headset to be comfortable for at least an hour at a time, if not for an entire day."",
",0
724,"723,Excellent product for the price.,
",1
725,"724,Great Phone.,
",1
726,"725,I bought this to use with my Kindle Fire and absolutely loved it!,
",1
727,"726,Setup went very smoothly.,
",1
728,"727,The phone loads super!,
",1
729,"728,This is a great deal.,
",1
730,"729,Linksys should have some way to exchange a bad phone for a refurb unit or something!,
",1
731,"730,Nice Sound.,
",1
732,"731,""stay away from this store, be careful."",
",1
733,"732,I've had this for nearly 2 years and it has worked great for me.,
",0
734,"733,SWEETEST PHONE!!!,
",1
735,"734,Sprint - terrible customer service.,
",0
736,"735,This is simply the BEST bluetooth headset for sound quality!,
",0
737,"736,""If you like a loud buzzing to override all your conversations, then this phone is for you!"",
",1
738,"737,I am also very happy with the price.,
",1
739,"738,Clear crisp sound.,
",1
740,"739,Made very sturdy.,
",1
741,"740,""For the price on Amazon, it is an excellent product, which I would highly recommend."",
",1
742,"741,I recently had problems where I could not stay connected for more than 10 minutes before being disconnected.,
",0
743,"742,Excellent dual-purpose headset.,
",1
744,"743,I came over from Verizon because cingulair has nicer cell phones.... the first thing I noticed was the really bad service.,
",0
745,"744,You can't beat the price on these.,
",0
746,"745,Used and dirty.,
",1
747,"746,Iam very pleased with my purchase.,
",1
748,"747,Excellent product for the price.,
",1
749,"748,A pretty good product.,
",1
750,"749,Not worth it.,
",1
751,"750,""I have to use the smallest earpieces provided, but it stays on pretty well."",
",1
752,"751,Leopard Print is wonderfully wild!.,
",1
753,"752,I was looking for this headset for a long time and now that I've got it I couldn't be happier.,
",1
754,"753,This is by far the worst purchase I've made on Amazon.,
",0
755,"754,""No additional ear gels provided, and no instructions whatsoever."",
",0
756,"755,It has all the features I want,
",1
757,"756,Plan on ordering from them again and again.,
",1
758,"757,This pair of headphones is the worst that I have ever had sound-wise.,
",0
759,"758,It's A PIECE OF CRAP!,
",0
760,"759,As I said above....PRETTY USELESS!,
",1
761,"760,""Because both ears are occupied, background is not distracting at all."",
",0
762,"761,Poor Talk Time Performance.,
",1
763,"762,It was that loud.Glad to say that the Plantronics 510 maintains a flawless connection to my cell and with no static during normal use.,
",0
764,"763,I would highly recommend this.,
",1
765,"764,It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes.,
",0
766,"765,the worst phone from samsung...crap..... this crappy Samsung E715.. is the worst i have ever seeen.,
",0
767,"766,I have had problems wit hit dropping signal and more.,
",0
768,"767,Don't buy this product.,
",1
769,"768,THey are so cool!,
",0
770,"769,The sound quality is good and functionality is awesome.,
",1
771,"770,""I can hear while I'm driving in the car, and usually don't even have to put it on it's loudest setting."",
",0
772,"771,""I connected my wife's bluetooth,(Motorola HS850) to my phone and it worked like a charm whether the phone was in my pocket or the case."",
",1
773,"772,""Performed awful -- muffled, tinny incoming sound and severe echo for those on the other end of the call."",
",0
774,"773,The voice recognition thru the handset is excellent.,
",1
775,"774,Do NOT buy if you want to use the holster.,
",1
776,"775,Piece of trash.,
",0
777,"776,This is hands down the best phone I've ever had.,
",0
778,"777,The cutouts and buttons are placed perfectly.,
",1
779,"778,The phone gets EXTREMELY HOT!,
",1
780,"779,Krussel Always good.,
",0
781,"780,The plug did not work very well.,
",1
782,"781,So I had to take the battery out of the phone put it all back together and then restart it.,
",1
783,"782,They refuse to refund or replace.,
",1
784,"783,The battery life is highly unacceptable.,
",1
785,"784,""No shifting, no bubbling, no peeling, not even a scratch, NOTHING!I couldn't be more happier with my new one for the Droid."",
",0
786,"785,""The sound quality for the device is unacceptable.Unless you are in a really quiet area, you almost hear nothing."",
",0
787,"786,This product is very High quality Chinese CRAP!!!!!!,
",0
788,"787,I love the ringtones because they are so upbeat!,
",1
789,"788,Great choice!,
",1
790,"789,Thank you for wasting my money.,
",0
791,"790,Just reading on the specs alone makes you say WOW.,
",1
792,"791,Great Product.,
",1
793,"792,""This product is clearly not ready for prime time, I don't care how cool it looks, if you can't tell a call is coming in it's worthless."",
",0
794,"793,""A must study for anyone interested in the """"worst sins"""" of industrial design."",
",1
795,"794,I give Wirefly 1 star.I will contact Cingular/AT&T; and inform them of this practice.,
",1
796,"795,Last time buying from you.,
",0
797,"796,Internet is excrutiatingly slow.,
",0
798,"797,Lousy product.,
",1
799,"798,""I'll be drivng along, and my headset starts ringing for no reason."",
",0
800,"799,I advise EVERYONE DO NOT BE FOOLED!,
",1
801,"800,We received a WHITE colored battery that goes DEAD after a couple hoursTHe original used to last a week - but still lasts longer than thereplacement,
",1
802,"801,nice leather.,
",1
803,"802,I'm trying to return it for a refund.,
",0
804,"803,""jabra ear gels """"R"""" the best!."",
",1
805,"804,""It seems completely secure, both holding on to my belt, and keeping the iPhone inside."",
",0
806,"805,Voice recognition is tremendous!,
",1
807,"806,I cannot make calls at certain places.,
",1
808,"807,This results in the phone being either stuck at max volume or mute.,
",1
809,"808,It's uncomfortable and the sound quality is quite poor compared with the phone (Razr) or with my previous wired headset (that plugged into an LG).,
",0
810,"809,Very wind-resistant.,
",1
811,"810,""very good product, well made."",
",1
812,"811,The case is a flimsy piece of plastic and has no front or side protection whatsoever.,
",0
813,"812,Rip off---- Over charge shipping.,
",1
814,"813,Big Disappointment with calendar sync.,
",0
815,"814,""But, in any case, the best part is, you can download these pictures to your laptop using IR, or even send pictures from your laptop to the phone."",
",1
816,"815,Does Not Work.,
",0
817,"816,I got the aluminum case for my new Palm VX and it worked really well--it has protected my handheld perfectly so far.,
",1
818,"817,I wear it everyday and it holds up very well.,
",1
819,"818,Don't make the same mistake that I did and please don't buy this phone.,
",1
820,"819,Don't buy this product - It fails!.,
",0
821,"820,""You get extra minutes so that you can carry out the call and not get cut off."""""",
",0
822,"821,Battery has no life.,
",0
823,"822,I purchased this and within 2 days it was no longer working!!!!!!!!!,
",0
824,"823,The company shipped my product very promptly and it works well.,
",1
825,"824,Magical Help.,
",0
826,"825,)Setup couldn't have been simpler.,
",0
827,"826,It fits my ear well and is comfortable on.,
",1
828,"827,All the other cases I've tried normally fall apart after a few months but this one seems to be in for the long haul.,
",1
829,"828,Save your money.... I've had this item for 11 months now.,
",0
830,"829,Worst Customer Service Ever.,
",0
831,"830,The battery is completely useless to me.,
",1
832,"831,Mic Doesn't work.,
",0
833,"832,Design Flaw?.,
",1
834,"833,Very unreliable service from T-mobile !,
",1
835,"834,My only complaint is the standard sound volume is a little low even when turned up to 5(of 5),
",1
836,"835,don't waste your money and time.,
",0
837,"836,The phone crashed completely and now I have to get it replaced.,
",1
838,"837,Linked to my phone without effort.,
",0
839,"838,Its not user friendly.,
",0
840,"839,""Pros:-Good camera - very nice pictures , also has cool styles like black and white, and more."",
",1
841,"840,You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.,
",1
842,"841,Absolutely great.,
",1
843,"842,After a year the battery went completely dead on my headset.,
",1
844,"843,I highly recommend this modest priced cellular phone.,
",1
845,"844,I highly recommend these and encourage people to give them a try.,
",1
846,"845,Adapter does not provide enough charging current.,
",0
847,"846,""Good value, works fine - power via USB, car, or wall outlet."",
",1
848,"847,I've had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear.,
",1
849,"848,The file browser offers all the options that one needs.Handsfree is great.,
",0
850,"849,""Simple, lightweight and great fit."",
",1
851,"850,It clicks into place in a way that makes you wonder how long that mechanism would last.,
",1
852,"851,Love This Phone.,
",1
853,"852,""Steer clear of this product and go with the genuine Palm replacementr pens, which come in a three-pack."",
",1
854,"853,""During several different 2 minute calls, I experienced 5 drops and it was in an area that had 5 bars."",
",0
855,"854,Battery life is real good.,
",1
856,"855,Nice headphones for the price and they work great!,
",1
857,"856,I found the product to be easy to set up and use.,
",1
858,"857,Its a total package.,
",0
859,"858,The price was very good and with the free shipping and all it was a good purchase.,
",1
860,"859,Worked very well paired with a Treo 700w and as a Skype headset on my PC (using a USB Bluetooth transceiver).,
",1
861,"860,And I just love the colors!,
",1
862,"861,its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case.,
",1
863,"862,It dit not work most of the time with my Nokia 5320.,
",0
864,"863,My 5-year old Nokia 2160 from Tracfone holds the charge a lot better than this.,
",1
865,"864,""Att is not clear, sound is very distorted and you have to yell when you talk."",
",1
866,"865,I tried talking real loud but shouting on the telephone gets old and I was still told it wasn't great.,
",1
867,"866,""I have used several phone in two years, but this one is the best."",
",1
868,"867,""I was sitting in my vehicle, with the cradle on my belt, and the headset lost signal."",
",0
869,"868,""My phone sounded OK ( not great - OK), but my wife's phone was almost totally unintelligible, she couldn't understand a word being said on it."",
",0
870,"869,It was a great phone.,
",1
871,"870,The construction of the headsets is poor.,
",0
872,"871,""It is super charged up for use as a small hybrid palmtop/camera/cellphone, and excels in those roles."",
",1
873,"872,Exactly what I wanted.,
",1
874,"873,""I am pairing this with my iphone, and I could not be happier with it so far."",
",0
875,"874,Very Dissapointing Performance.,
",1
876,"875,Worked great!.,
",1
877,"876,Easy to pair with my Samsung Cell.,
",0
878,"877,It only recognizes the Phone as its storage device.,
",1
879,"878,Item Does Not Match Picture.,
",0
880,"879,""Also, the phone doesn't seem to accept anything except CBR mp3s, preferably ripped by Windows Media Player."",
",0
881,"880,""I've dropped my phone more times than I can say, even on concrete and my phone is still great (knock on wood!)."",
",1
882,"881,Beautiful styling though.,
",1
883,"882,""I have 2-3 bars on my cell phone when I am home, but you cant not hear anything."",
",0
884,"883,I have been very happy with the 510 and have had NO complaints from any one regarding my sound quality on their end.,
",0
885,"884,Love it.. Great armband.,
",1
886,"885,I love this bluetooth!,
",1
887,"886,great...no problems at all!.,
",0
888,"887,""Good product, good seller."",
",1
889,"888,Reception is terrible and full of static.,
",0
890,"889,Awkward to use and unreliable.,
",0
891,"890,""great headset, very impressed - H500."",
",1
892,"891,I am sorry I made this purchase.,
",1
893,"892,Utter crap.. Sound quality is TERRIBLE.,
",0
894,"893,""However-the riingtones are not the best, and neither are the games."",
",1
895,"894,Unfortunately it did not work.,
",0
896,"895,Logitech Bluetooth Headset is a 10!.,
",1
897,"896,This allows the possibility of double booking for the same date and time after the first.,
",1
898,"897,""It quit working after I'd used it for about 18 months, so I just purchased another one because this is the best headset I've ever owned."",
",0
899,"898,The camera on the phone may be used as a dustpan when indoors... I'd rather be using a disposable then this.,
",1
900,"899,Lasted one day and then blew up.,
",0
901,"900,My sister has one also and she loves it.,
",1
902,"901,""Sound quality on both end is excellent, I use headset to call my wife and ask my wife to use headset to call me !2."",
",0
903,"902,Excellent wallet type phone case.,
",0
904,"903,WARNING - DO NOT BUY!!.,
",1
905,"904,""I had ordered a motorola data cable, got a very well finished and working product."",
",1
906,"905,Great charger.,
",1
907,"906,""This case has passed the one year mark and while it shows signs of wear, it is 100% functional."",
",0
908,"907,It is the best charger I have seen on the market yet.,
",1
909,"908,None of the three sizes they sent with the headset would stay in my ears.,
",1
910,"909,""I know that sounds funny, but to me it seemed like sketchy technology that wouldn't work well.Well, this one works great."",
",1
911,"910,It doesn't work in Europe or Asia.,
",0
912,"911,""Nice quality build, unlike some cheap s*** out there."",
",0
913,"912,fast service.,
",1
914,"913,Works as described.,
",1
915,"914,This company charge me a restocking fee and still not given me my refund back.,
",1
916,"915,It doesn't make you look cool.,
",0
917,"916,Can't store anything but phone numbers to SIM.,
",1
918,"917,What a waste.,
",0
919,"918,The Jabra EarGels fit my ears very well.,
",1
920,"919,$50 Down the drain.,
",0
921,"920,Does not charge the Cingular (ATT) 8525 phone.,
",1
922,"921,Poorly contstruct hinge.,
",1
923,"922,""I can barely ever hear on it and am constantly saying """"what?"""""",
",0
924,"923,If you plan to use this in a car forget about it.,
",1
925,"924,""Even in my BMW 3 series which is fairly quiet, I have trouble hearing what the other person is saying."",
",0
926,"925,""If there is a wind, it is completely useless."",
",1
927,"926,I am very impressed with the job that Motorola did on the sturdiness of this phone.,
",1
928,"927,I got it because it was so small and adorable.,
",1
929,"928,Avoid this one if you can.,
",1
930,"929,Reversible plug works great.,
",1
931,"930,""you can even take self portraits with the outside (exterior) display, very cool."",
",0
932,"931,I have been very satisfied with this cell phone from day one.,
",1
